,users,yields,followers
713,ruslankibeshev,57.56,2
714,Den.investor95,-19.51,1
715,qubrillium,0.0,0
716,flewi,38.6,8
717,ID_SUROVY,-7.13,13
718,RocketRaccoon,11.42,222
719,Quattron,-39.6,1
720,Neznayka41,-202.26,0
721,Muravey0,13.08,0
722,RaleKane,-30.43,0
723,Lepricon365,6.12,3
724,kval1,-90.22,6
725,daer0078,-264.41,0
726,Olala90,36.07,68
727,Silly_question_,-122.62,12
728,vladcoach666,20.84,1
729,Grifter,44.07,5
730,DeviLito1987,-62.83,132
731,vasya2023,1.48,0
732,memento_one,-14.27,0
733,Cragger,-16.79,2
734,Courchevel,46.45,3
735,GM177,17.71,109
736,Mairakala,12.55,0
737,Arsenal25,12.09,0
738,Snow_white11711,38.84,4
739,ING_212_MEN,16.84,88
740,cerber_rr,-5.76,337
741,dashalikeit,14.12,5
742,8015,-158.28,0
743,Xo4y_Na_More,0.77,17
744,G_Agaspher,-109.57,18
745,Nataniell,-2.28,1
746,pavel_lebedev,44.54,3
747,Guzaliya739,15.24,0
748,Ravil_Kam,-42.48,3
749,SkroogeMcDuck777,-2.98,42
750,XoMyak_228,-3.92,131
751,IrinaVladi987,-1.76,8
752,Terra1885,41.66,2
753,LenaSi,40.72,116
754,AdamStrix,-127.96,3
755,GEWINN,-14.8,11
756,ElexirMD,0.0,0
757,ivanmakhno,0.0,0
758,Vlasova_Vil,-0.27,6
759,Source,2.67,19
760,Beketka,12.07,0
761,bruklin___1,0.0,0
762,starks,-95.21,28
763,Sever2020,49.44,0
764,ddob,-158.71,15
765,Lilshama,-2.4,4
766,Moskvichh,13.87,3
767,Don_Investitor,-13.29,104
768,k0l0b0k,-87.87,6
769,Smirnova83,0.74,39
770,Alexbond007,19.19,0
771,MctitelDonbassa,36.33,1
772,Danunaxer34,-164.6,29
773,SendyKet,91.86,1
774,MIROVOYY,-10.56,4
775,ANBRTR,1.44,0
776,iStrong,0.0,0
777,__RUSIK__,0.12,1
778,DenNsk,-39.66,630
779,HappyRich,4.34,4
780,DK_78,0.0,0
781,remix09,20.65,2
782,nabrik,14.83,26
783,VadimSergeevish,12.15,9
784,Black_Droid,-134.59,17
785,Ty4ka,0.0,0
786,Neji,94.44,1
787,Leyla_Shah,28.24,0
788,90Mariya,0.0,0
789,_d_s.o.l.o_,3.2,2
790,axabok,-105.53,0
791,gutalien,15.59,3
792,Bbau,-8.86,0
793,neon07,55.61,6
794,2000plus,-533.67,2
795,martik19,37.26,1
796,Succesful,42.22,0
797,AMV23,-65.39,0
798,DobrobobR1,12.12,2
799,K.Robson,-118.67,1
800,Tomy_Bombino,-14.94,3
801,malenkiy_muk,9.41,13
802,Irinasiova,34.55,1
803,Aleksey777b,114.07,0
804,AWFLM,-27.95,0
805,wasting_investing,175.95,159
806,Alexcrool,18.61,1
807,butchi_online,-290.97,2
808,Gmgt,0.0,0
809,arizona_robins,11.5,0
810,volodyass,-102.49,3
811,Lobster_3D,4.68,0
812,Punkoff,-5.88,7
813,Karin3359,25.56,0
814,FRTY36,-32.72,1
815,BELOV_S,45.59,131
816,Dymavoy,29.22,1
817,Mikhail_rec,9.62,1
818,Timoj,6.54,2
819,VVN2007,-117.04,10
820,ShowMeTrade,-0.96,0
821,Crnogorski_Vuk,15.73,244
822,k.v.la,-0.66,6
823,MARALMAD,22.82,3
824,L1k3r,0.0,8
825,LediFarm,17.88,6
826,SmiDrew,13.19,1
827,SergioCorvalio,-11.62,0
828,Rooster_,31.4,205
829,Oksana753,0.35,22
830,tp_kk,-6.04,6
831,investmentman,18.73,2
832,GalaxyDancer,2.73,10
833,TroitsarT,-4.82,1
834,unit78,25.53,100
835,treiger,0.0,0
836,zannagr,0.0,0
837,Ivan_ein,64.34,1
838,LitvakMarina,16.39,157
839,PavelAlekseevi4,-211.76,11
840,Alirp,-71.86,45
841,NV_invest,-79.07,10
842,Vfapq,0.0,0
843,Guy_From_WSB,0.0,0
844,VassilyZR,10.87,0
845,Gor90,-280.46,7
846,Renaissance,-200.9,11
847,PavlMal,43.94,0
848,Iamrich666,-32.93,19
849,m0usead,-109.69,4
850,Hardys,0.0,0
851,0RLoff,-6.16,1
852,Ani_Zam,-562.56,0
853,arkashk,0.67,1
854,Adick,10.22,2
855,Vladimir_8888,4.06,6
856,4aika_,-7.56,2
857,eshmeshhesh,-70.31,2
858,Kirill_9,0.81,90
859,Ivanko1899,-48.36,2
860,dahoffsv,147.2,1
861,politehnikShpops,-7.68,3
862,CatherineRussia,11.7,9
863,Ex_President,-34.16,7
864,Terpenie,7.22,20
865,BigMountain,52.63,123
866,SolarGalaxy,0.0,3
867,tsurkan,44.64,2
868,Kripta.invest,-27.89,373
869,E1ex,-6.3,2
870,mechanic063,13.02,3
871,svrnyu,0.0,0
872,absxlute,0.0,0
873,MrBarbudo,-19.83,3
874,Razdor_Razdor,11.18,4
875,Nevskykk,22.95,6
876,Umnikum,38.61,21
877,Mirabo,27.49,5
878,KotFedot,39.12,0
879,tank68,27.45,6
880,Andrey320,4.49,3
881,Vasilch,4.91,0
882,Burduk,37.57,0
883,ap_petrov,51.76,4
884,Skobarb,-228.2,3
885,AVK3311,63.7,0
886,Ivan1483,-21.81,3
887,AkeZzoO,52.9,105
888,SashaSnaik,-70.01,0
889,Vinroller26,-94.72,2
890,Im_Mastercard,25.04,0
891,RomikX,-24.81,19
892,DarinaDarina,23.84,1
893,Ramzessssss,-8.49,0
894,swapps,43.43,5
895,SantAAA,28.95,0
896,sanya0216,-32.59,15
897,Khazri,50.27,1
898,DeeB,379.7,2
899,ExterOK,0.0,0
900,evgeniypanshin,9.56,15
901,AntonioTarasov,86.45,621
902,PV4,21.12,2
903,Mila78,-24.27,1
904,dm2k,30.89,9
905,kekaseka,0.0,0
906,darksidemoon,-10.86,0
907,DivaniiHomyak,5.49,0
908,krendel1,0.0,12
